lake,conductivity,hardness,turbidity,chlorophyll,ammonia,nitrate_ite,aluminum,barium,calcium,carbon,chloride,chromium,copper,magnesium,manganese,mercury,molybdenum,phosphorus,potassium,silicon,sodium,strontium,sulphate,vanadium,zinc
erie,249.0,,,9200.0,54000.0,1270000.0,,,,,12500000.0,,,,,,,117000.0,,900000.0,,,,,
erie,337.0,,,14400.0,14000.0,3440000.0,,,,,24000000.0,,,,,,,342000.0,,1570000.0,,,,,
erie,325.0,,,3300.0,20000.0,3580000.0,,,,,16300000.0,,,,,,,90000.0,,1390000.0,,,,,
erie,238.0,,,2600.0,16000.0,920000.0,,,,,11200000.0,,,,,,,15000.0,,730000.0,,,,,
erie,234.0,,,2500.0,12000.0,610000.0,,,,,9900000.0,,,,,,,22000.0,,380000.0,,,,,
erie,251.0,,,2200.0,12000.0,690000.0,,,,,15800000.0,,,,,,,42000.0,,860000.0,,,,,
erie,260.0,,,13000.0,5000.0,620000.0,,,,,13500000.0,,,,,,,28000.0,,120000.0,,,,,
erie,253.0,,,12900.0,45000.0,1460000.0,,,,,14500000.0,,,,,,,331000.0,,1300000.0,,,,,
erie,245.0,,,5100.0,20000.0,1260000.0,,,,,12000000.0,,,,,,,131000.0,,1040000.0,,,,,
erie,357.0,,,1400.0,35000.0,900000.0,,,,,29500000.0,,,,,,,139000.0,,1860000.0,,,,,
erie,239.0,,,1200.0,10000.0,840000.0,,,,,15000000.0,,,,,,,13000.0,,20000.0,,,,,
erie,260.0,,,5700.0,10000.0,180000.0,,,,,11500000.0,,,,,,,35000.0,,40000.0,,,,,
erie,296.0,,,7800.0,25000.0,320000.0,,,,,13000000.0,,,,,,,75000.0,,360000.0,,,,,
erie,258.0,,,2000.0,15000.0,200000.0,,,,,11500000.0,,,,,,,43000.0,,120000.0,,,,,
erie,257.0,,,2000.0,25000.0,260000.0,,,,,14000000.0,,,,,,,79000.0,,240000.0,,,,,
erie,282.0,,,3700.0,5000.0,340000.0,,,,,14500000.0,,,,,,,69000.0,,340000.0,,,,,
erie,268.0,,,4700.0,20000.0,360000.0,,,,,14000000.0,,,,,,,78000.0,,380000.0,,,,,
erie,297.0,,,4500.0,5000.0,340000.0,,,,,15000000.0,,,,,,,77000.0,,320000.0,,,,,
erie,297.0,,,6200.0,20000.0,440000.0,,,,,14500000.0,,,,,,,160000.0,,400000.0,,,,,
erie,282.0,,,4600.0,5000.0,420000.0,,,,,14500000.0,,,,,,,50000.0,,400000.0,,,,,
erie,268.0,,,4900.0,10000.0,580000.0,,,,,13000000.0,,,,,,,20000.0,,380000.0,,,,,
erie,280.0,,,,15000.0,560000.0,,,,,14000000.0,,,,,,,15000.0,,120000.0,,,,,
erie,273.0,,,,35000.0,520000.0,,,,,15000000.0,,,,,,,35000.0,,100000.0,,,,,
erie,289.0,,,,10000.0,340000.0,,,,,14000000.0,,,,,,,15000.0,,1140000.0,,,,,
erie,245.0,,,,20000.0,280000.0,,,,,13500000.0,,,,,,,140000.0,,500000.0,,,,,
erie,,,,300.0,2000.0,106000.0,,,,23500000.0,16200000.0,,,,,,,18700.0,,900000.0,,,,,
erie,293.0,,,2600.0,25000.0,620000.0,,,,,15000000.0,,,,,,,55000.0,,360000.0,,,,,
