,lake,water_body,date_collect,station_num,sample_num,station_descr,latitude,longitude
0,erie,LAKE ERIE,2001-05-01,1600010370,GL012028,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
1,erie,LAKE ERIE,2001-05-01,1600010370,GL012029,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
2,erie,LAKE ERIE,2001-05-01,1600010370,GL012030,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
3,erie,LAKE ERIE,2001-05-01,1600010370,GL012031,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
4,erie,LAKE ERIE,2001-08-09,1600010370,GL012345,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
5,erie,LAKE ERIE,2001-08-09,1600010370,GL012346,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
6,erie,LAKE ERIE,2001-08-09,1600010370,GL012347,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
7,erie,LAKE ERIE,2001-08-09,1600010370,GL012348,LAKE ERIE WEST BASIN INDEX STATION,41.85681,-83.09631
8,erie,LAKE ERIE,2001-08-09,1600010284,GL012349,LAKE ERIE WEST BASIN INDEX STATION,41.96694,-82.55986
9,erie,LAKE ERIE,2001-08-09,1600010284,GL012350,LAKE ERIE WEST BASIN INDEX STATION,41.96694,-82.55986
10,erie,LAKE ERIE,2001-08-09,1600010284,GL012351,LAKE ERIE WEST BASIN INDEX STATION,41.96694,-82.55986
11,erie,LAKE ERIE,2001-08-09,1600010284,GL012352,LAKE ERIE WEST BASIN INDEX STATION,41.96694,-82.55986
12,erie,LAKE ERIE,2001-08-09,1600010659,GL012353,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
13,erie,LAKE ERIE,2001-08-09,1600010659,GL012354,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
14,erie,LAKE ERIE,2001-08-09,1600010659,GL012355,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
15,erie,LAKE ERIE,2001-08-09,1600010659,GL012356,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
16,erie,LAKE ERIE,2001-08-09,1600010659,GL012357,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
17,erie,LAKE ERIE,2001-08-10,1600010659,GL012358,POINTE AUX PINS - LONG TERM SENSING SITE,42.28197,-81.82817
18,erie,LAKE ERIE,2001-08-13,1600010658,GL012359,PORT STANLEY - LONG TERM SENSING SITE,42.63772,-81.18553
19,erie,LAKE ERIE,2001-08-13,1600010658,GL012360,PORT STANLEY - LONG TERM SENSING SITE,42.63772,-81.18553
20,erie,LAKE ERIE,2001-08-13,1600010658,GL012361,PORT STANLEY - LONG TERM SENSING SITE,42.63772,-81.18553
21,erie,LAKE ERIE,2001-08-13,1600010658,GL012362,PORT STANLEY - LONG TERM SENSING SITE,42.63772,-81.18553
22,erie,LAKE ERIE,2001-08-14,1600011340,GL012363,MID-CHANNEL AT NIAGARA RIVER SOURCE,42.87186,-78.93039
23,erie,LAKE ERIE,2001-08-14,1600011340,GL012364,MID-CHANNEL AT NIAGARA RIVER SOURCE,42.87186,-78.93039
24,erie,LAKE ERIE,2001-08-14,1600011340,GL012366,MID-CHANNEL AT NIAGARA RIVER SOURCE,42.87186,-78.93039
25,erie,LAKE ERIE,2001-08-14,1600011340,GL012365,MID-CHANNEL AT NIAGARA RIVER SOURCE,42.87186,-78.93039
26,erie,LAKE ERIE,2001-08-14,1600010656,GL012367,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
27,erie,LAKE ERIE,2001-08-14,1600010656,GL012368,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
28,erie,LAKE ERIE,2001-08-14,1600010656,GL012369,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
29,erie,LAKE ERIE,2001-08-14,1600010656,GL012370,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
30,erie,LAKE ERIE,2001-08-14,1600010656,GL012371,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
31,erie,LAKE ERIE,2001-08-14,1600010656,GL012372,GRAND RIVER - LONG TERM SENSING SITE,42.84067,-79.58994
32,erie,LAKE ERIE,2001-08-15,1600010657,GL012373,NANTICOKE - PEACOCK POINT - LONG TERM SENSING SITE,42.77497,-79.98236
